,Calib,Had resp,MC,ZS,Accept,Z-vertex,Total
EMCal,2.6%,4.1%,1.4%,1.0%,0.2%,0.3%,5.3%
HCal,2.7%,6.6%,2.9%,0.3%,0.3%,0.1%,7.9%
Full Calo,2.1%,4.7%,1.8%,0.8%,0.2%,0.2%,5.6%
IHCal,10.0%,6.5%,1.6%,0.1%,0.2%,0.4%,12.1%
OHCal,1.0%,6.6%,3.3%,0.4%,0.4%,0.1%,7.7%
EMCal,2.6%,4.1%,1.4%,1.2%,0.2%,0.3%,5.3%
HCal,2.7%,6.6%,2.7%,0.2%,0.3%,0.1%,7.8%
Full Calo,2.1%,4.7%,1.7%,0.9%,0.2%,0.2%,5.6%
IHCal,10.0%,6.5%,1.5%,0.1%,0.3%,0.4%,12.1%
OHCal,1.0%,6.6%,3.1%,0.3%,0.3%,0.1%,7.6%
EMCal,2.6%,4.1%,1.4%,1.3%,0.4%,0.3%,5.3%
HCal,2.7%,6.6%,2.5%,0.2%,0.3%,0.1%,7.7%
Full Calo,2.1%,4.7%,1.6%,1.0%,0.3%,0.2%,5.6%
IHCal,10.0%,6.5%,1.4%,0.1%,0.4%,0.4%,12.1%
OHCal,1.0%,6.6%,2.9%,0.3%,0.3%,0.1%,7.5%
EMCal,2.6%,4.1%,1.4%,1.6%,0.3%,0.3%,5.4%
HCal,2.7%,6.6%,2.5%,0.2%,0.2%,0.1%,7.7%
Full Calo,2.1%,4.7%,1.6%,1.2%,0.2%,0.2%,5.7%
IHCal,10.0%,6.5%,1.3%,0.1%,0.3%,0.4%,12.1%
OHCal,1.0%,6.6%,2.8%,0.3%,0.3%,0.1%,7.5%
EMCal,2.6%,4.1%,1.4%,2.0%,0.2%,0.3%,5.5%
HCal,2.7%,6.6%,2.5%,0.2%,0.4%,0.1%,7.7%
Full Calo,2.1%,4.7%,1.6%,1.5%,0.1%,0.2%,5.7%
IHCal,10.0%,6.5%,1.4%,0.1%,0.2%,0.4%,12.1%
OHCal,1.0%,6.6%,2.9%,0.2%,0.5%,0.2%,7.5%
EMCal,2.6%,4.1%,1.6%,2.5%,0.2%,0.3%,5.9%
HCal,2.7%,6.6%,2.8%,0.2%,0.4%,0.2%,7.8%
Full Calo,2.1%,4.7%,1.8%,1.9%,0.2%,0.3%,5.9%
IHCal,10.0%,6.5%,1.8%,0.1%,0.3%,0.5%,12.1%
OHCal,1.0%,6.6%,3.1%,0.2%,0.5%,0.2%,7.6%
EMCal,2.6%,4.1%,1.8%,3.6%,0.4%,0.4%,6.5%
HCal,2.7%,6.6%,3.0%,0.2%,0.4%,0.2%,7.9%
Full Calo,2.1%,4.7%,1.9%,2.7%,0.3%,0.3%,6.3%
IHCal,10.0%,6.5%,2.1%,0.1%,0.4%,0.5%,12.2%
OHCal,1.0%,6.6%,3.4%,0.3%,0.5%,0.2%,7.8%
EMCal,2.6%,4.1%,2.1%,5.8%,0.5%,0.4%,8.1%
HCal,2.7%,6.6%,3.8%,0.2%,0.6%,0.2%,8.3%
Full Calo,2.1%,4.7%,2.2%,4.4%,0.3%,0.3%,7.4%
IHCal,10.0%,6.5%,2.6%,0.1%,0.6%,0.5%,12.3%
OHCal,1.0%,6.6%,4.3%,0.3%,0.7%,0.3%,8.2%